"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","DSND","DSNW","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","PRCP","PSUN","SNOW","TAVG","TMAX","TMIN","TSUN"
"US1MAWR0028","BERLIN 1.3 WSW, MA US","42.3775","-71.6583","123.4","2019-01",,,,,,,"1.35",,,"4.81",,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","42.3775","-71.6583","123.4","2019-02",,,"4",,,"4.0","1.47",,,"3.81",,"12.4",,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","42.19083","-71.17361","15.2","2019-01","0",,,"3",,,"1.49","62","3123","4.70",,,"30.0","39.3","20.6",
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","42.19083","-71.17361","15.2","2019-02","0",,,"7",,,"0.78","66","4029","2.50",,,"32.6","42.0","23.4",
"US1MAPL0036","HINGHAM 0.8 ESE, MA US","42.2309","-70.8745","11.3","2019-01",,,"1",,,"5.1","1.92",,,"6.20",,"5.1",,,,
"US1MAPL0036","HINGHAM 0.8 ESE, MA US","42.2309","-70.8745","11.3","2019-02",,,"2",,,"5.5","1.05",,,"3.47",,"7.4",,,,
"US1MAMD0062","CHELMSFORD 1.2 E, MA US","42.5972","-71.3449","40.2","2019-01",,,"1",,,"5.6","1.18",,,"4.35",,"5.8",,,,
"US1MAMD0062","CHELMSFORD 1.2 E, MA US","42.5972","-71.3449","40.2","2019-02",,,,,,,"1.80",,,"4.04",,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2019-01",,,,,,,"1.73",,,"7.31",,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2019-02",,,"4",,,"4.0","1.12",,,"3.72",,"11.4",,,,
"US1MAMD0025","AYER 0.1 SW, MA US","42.5611","-71.5869","82.3","2019-01",,,,,,,"1.13",,,"3.51",,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","42.5611","-71.5869","82.3","2019-02",,,,,,,"1.34",,,"3.37",,,,,,
"US1MAES0020","HAVERHILL 0.7 N, MA US","42.7945","-71.0861","29.0","2019-01",,,"3",,,"5.8","0.84",,,"4.04",,"13.1",,,,
"US1MAES0020","HAVERHILL 0.7 N, MA US","42.7945","-71.0861","29.0","2019-02",,,,,,,"1.30",,,"3.25",,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.3031","-71.124","29.0","2019-01","0","5","1","1","5","5.2","1.36","58","3306","4.86",,"5.7","28.7","37.5","19.9",
"USC00193890","JAMAICA PLAIN, MA US","42.3031","-71.124","29.0","2019-02","0","13","3","2","4","3.6","0.58","65","4230","2.17",,"8.4","30.8","39.4","22.2",
"USC00194105","LAWRENCE, MA US","42.6993","-71.1659","15.2","2019-01","0","7","3","1","6","5.0","0.99","58","3450","3.91",,"9.7","27.0","35.3","18.7",
"USC00194105","LAWRENCE, MA US","42.6993","-71.1659","15.2","2019-02","0","15","5","1","4","3.2","1.30","63","4449","3.25",,"9.6","29.3","37.1","21.6",
"US1MAWR0030","SHREWSBURY 1.6 NNE, MA US","42.3195","-71.7005","179.8","2019-01",,,,,,,"1.52",,,"2.85",,,,,,
"US1MAWR0030","SHREWSBURY 1.6 NNE, MA US","42.3195","-71.7005","179.8","2019-02",,,,,,,"1.43",,,"3.46",,,,,,
"USC00194502","MARBLEHEAD, MA US","42.5007","-70.8644","25.6","2019-01","0","4","1","1","2","2.0","1.15","55","3445","4.00",,"2.8","28.8","38.0","19.7",
"USC00194744","MIDDLETON, MA US","42.5934","-71.0187","33.5","2019-01","0","5","2","-6","6","5.0","1.25","58","3663","4.34",,"6.5","25.0","35.5","14.5",
"USC00194744","MIDDLETON, MA US","42.5934","-71.0187","33.5","2019-02","0","12","5","-7","5","3.5","1.29","61","4727","3.42",,"12.2","27.0","37.1","16.9",
"US1MANF0001","NORWOOD 1.3 NW, MA US","42.1976","-71.2137","65.5","2019-01",,"5","1",,"4","4.6","1.15",,,"5.06",,"5.8",,,,
"US1MANF0001","NORWOOD 1.3 NW, MA US","42.1976","-71.2137","65.5","2019-02",,"11","4",,"4","3.6","1.09",,,"3.24",,"11.9",,,,
"USC00190860","BROCKTON, MA US","42.04756","-71.00819","22.9","2019-01","0","1","1","1","3","3.0","2.47","59","3220","7.03",,"3.0","28.8","37.6","20.0",
"US1MABR0030","TAUNTON 3.9 N, MA US","41.9581","-71.0821","26.8","2019-01",,"4","1",,"3","3.0","1.48",,,"6.31",,"3.0",,,,
"US1MABR0030","TAUNTON 3.9 N, MA US","41.9581","-71.0821","26.8","2019-02",,"10","4",,"4","4.0","1.06",,,"3.48",,"11.4",,,,
"US1MANF0005","WEYMOUTH 0.5 NW, MA US","42.2115","-70.9506","30.2","2019-01",,,,,,,"1.59",,,"3.55",,,,,,
"US1MANF0005","WEYMOUTH 0.5 NW, MA US","42.2115","-70.9506","30.2","2019-02",,,,,,,"0.95",,,"2.10",,,,,,
"US1MAPL0043","HANSON 0.7 NW, MA US","42.0723","-70.8587","19.2","2019-01",,,,,,,"1.38",,,"5.44",,,,,,
"US1MAMD0093","WESTFORD 1.5 SSW, MA US","42.5653","-71.4491","99.1","2019-01",,"4","3",,"7","7.0","1.27",,,"4.34",,"11.3",,,,
